ID;Name;IMDB_Rating;Premiere;Finale ;Runtime_of_Episodes;Overview
59;Spartacus: Blood and Sand;8.5;2010;2013;55;The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.
60;Fringe;8.4;2008;2013;46;An F.B.I. agent is forced to work with an institutionalized scientist and his son in order to rationalize a brewing storm of unexplained phenomena.
61;Community;8.5;2009;2015;22;A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.
62;Mindhunter;8.6;2017;2019;60;Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.
63;The 100;7.6;2014;2020;43;Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.
64;Parks and Recreation;8.6;2009;2020;22;The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.
65;Futurama;8.4;1999;2013;22;Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.
66;Gotham;7.8;2014;2019;42;The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.
67;Once Upon a Time;7.7;2011;2018;60;A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.
68;Mad Men;8.6;2007;2015;47;A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.
69;Shingeki no kyojin;8.9;2013;null;24;After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.
70;Agents of S.H.I.E.L.D.;7.5;2013;2020;45;The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.
71;The X Files;8.6;1993;2018;45;Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.
72;The Blacklist;8;2013;null;43;A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.
73;Jessica Jones;7.9;2015;2019;56;Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City.
74;New Girl;7.7;2011;2018;22;After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.
75;It's Always Sunny in Philadelphia;8.8;2005;null;22;Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.
76;Ozark;8.4;2017;null;60;A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.
77;The Punisher;8.5;2017;2019;53;"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
78;The Handmaid's Tale;8.4;2017;null;60;Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.
79;Boardwalk Empire;8.5;2010;2014;55;An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
80;24;8.3;2001;2010;44;Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster.
81;Californication;8.3;2007;2014;28;A writer tries to juggle his career, his relationship with his daughter and his ex-girlfriend, as well as his appetite for beautiful women.
82;The Mentalist;8.1;2008;null;43;"A famous ""psychic"" outs himself as a fake, and starts working as a consultant for the California Bureau of Investigation so he can find ""Red John"", the madman who killed his wife and daughter."
83;Downton Abbey;8.7;2010;2015;58;A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.
84;Person of Interest;8.4;2011;2016;43;An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes, including the civilians' roles, are left a mystery.
85;Criminal Minds;8.1;2005;2020;42;The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again.
86;The Umbrella Academy;8;2019;null;60;A family of former child heroes, now grown apart, must reunite to continue to protect the world.
87;Sex Education;8.3;2019;null;45;A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.
88;Entourage;8.4;2004;2011;28;Film star Vince Chase navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent.
89;Big Little Lies;8.5;2017;2019;60;The apparently perfect lives of upper-class mothers, at a prestigious elementary school, unravel to the point of murder when a single-mother moves to their quaint Californian beach town.
90;Rome;8.7;2005;2007;52;A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.
91;Gossip Girl;7.4;2007;2012;42;Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.
92;That '70s Show;8.1;1998;2006;22;A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin.
93;Pretty Little Liars;7.4;2010;2017;44;Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend.
94;The Crown;8.7;2016;null;58;Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.
95;The End of the F***ing World;8.1;2017;2019;25;James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.
96;You;7.7;2018;null;45;A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.
97;Altered Carbon;8;2018;2020;60;Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom.
98;Castle;8.1;2009;2016;43;"After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes."
99;Bones;7.8;2005;2017;40;"Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones."
100;Sense8;8.3;2015;2018;60;A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order.
101;Archer;8.6;2009;null;22;Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.
102;Glee;6.7;2009;2015;44;A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.
103;The IT Crowd;8.5;2006;2013;25;The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.
104;Buffy the Vampire Slayer;8.2;1997;2003;44;A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends.
105;Freaks and Geeks;8.8;1999;2000;44;A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
106;How to Get Away with Murder;8.1;2014;2020;43;A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.
107;Chuck;8.2;2007;2012;43;When a twenty-something computer geek inadvertently downloads critical government secrets into his brain, the C.I.A. and the N.S.A. assign two agents to protect him and exploit such knowledge, turning his life upside down.
108;Teen Wolf;7.6;2011;2017;41;An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.
109;Silicon Valley;8.5;2014;2019;28;Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.
110;Outlander;8.4;2014;null;64;An English combat nurse from 1945 is mysteriously swept back in time to 1743.
111;Hagane no renkinjutsushi;9.1;2009;2012;24;Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.
112;The Fresh Prince of Bel-Air;7.9;1990;1996;22;A streetwise, poor young man from Philadelphia is sent by his mother to live with his aunt, uncle and cousins in their Bel-Air mansion.
113;Luther;8.5;2010;2019;60;DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.
114;Six Feet Under;8.7;2001;2005;55;A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.
115;NCIS: Naval Criminal Investigative Service;7.7;2003;null;60;The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.
116;Riverdale;6.9;2017;null;45;While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.
117;White Collar;8.2;2009;2014;40;A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman.
118;The Originals;8.2;2013;2018;45;A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.
119;Malcolm in the Middle;8;2000;2006;22;A gifted young teen tries to survive life with his dimwitted, dysfunctional family.
120;Luke Cage;7.3;2016;2018;55;When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must soon confront his past and fight a battle for the heart of his city.
121;American Dad!;7.3;2005;null;22;The random escapades of Stan Smith, a conservative C.I.A. Agent dealing with family life, and keeping America safe, all in the most absurd way possible.
122;One Punch Man: Wanpanman;8.8;2015;null;24;The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.
123;Smallville;7.5;2001;2011;60;A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.
124;Desperate Housewives;7.5;2004;2012;45;Secrets and truths unfold through the lives of female friends in one suburban neighborhood, after the mysterious suicide of a neighbor.
125;Taboo;8.4;2017;null;59;Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However, both the government and his biggest competitor want his inheritance at any cost - even murder.
126;The Good Place;8.2;2016;2020;22;Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.
127;Iron Fist;6.5;2017;2018;55;A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.
128;Dragon Ball Z;8.7;1996;2003;24;After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.
129;BoJack Horseman;8.7;2014;2020;25;"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters."
130;Revenge;7.8;2011;2015;44;An emotionally troubled young woman sets out to exact revenge against the people who wronged her father.
131;Fear the Walking Dead;6.9;2015;null;44;A Walking Dead spin-off, set in Los Angeles, following two families who must band together to survive the undead apocalypse.
132;Penny Dreadful;8.2;2014;2016;60;Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein and medium Vanessa Ives unite to combat supernatural threats in Victorian London.
133;30 Rock;8.2;2006;2013;22;"Liz Lemon (Tina Fey), head writer of the sketch comedy show ""TGS with Tracy Jordan"", must deal with an arrogant new boss and a crazy new star, all while trying to run a successful television show without losing her mind."
134;Supergirl;6.3;2015;2021;43;The adventures of Superman's cousin in her own superhero career.
135;Lie to Me;8;2009;2011;43;About Cal Lightman, the world's leading deception expert who studies facial expressions and involuntary body language to expose the truth behind the lies.
136;The Expanse;8.5;2015;null;60;In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.
137;Cobra Kai;8.6;2018;null;30;Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.
138;Grimm;7.8;2011;2017;45;A homicide detective discovers he is a descendant of hunters who fight supernatural forces.
139;This Is Us;8.7;2016;null;45;A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.
140;Sex and the City;7.1;1998;2004;30;Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.
141;The Newsroom;8.6;2012;2014;55;A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.
142;The Legend of Korra;8.4;2012;2014;23;Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.
143;Curb Your Enthusiasm;8.7;2000;null;28;The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.
144;Mr. Bean;8.5;1990;1995;25;Bumbling, childlike Mr. Bean has trouble completing the simplest of tasks in day-to-day life, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.
145;Weeds;7.9;2005;2012;28;When a suburban mother turns to dealing marijuana in order to maintain her privileged lifestyle after her husband dies, she finds out just how addicted her entire neighborhood already is.
146;Star Trek: The Next Generation;8.6;1987;1994;44;Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.
147;Fleabag;8.7;2016;2019;27;A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
148;Orphan Black;8.3;2013;2017;44;A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.
149;Gilmore Girls;8.1;2000;2007;44;A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.
150;Elementary;7.9;2012;2019;60;A modern take on the cases of Sherlock Holmes, with the detective now living in New York City.
151;Under the Dome;6.6;2013;2015;43;"An invisible and mysterious force field descends upon a small actual town of Chester's Mill, Maine, USA, trapping residents inside, cut off from the rest of civilization. The trapped townspeople must discover the secrets and purpose of the ""dome"" or ""sphere"" and its origins, while coming to learn more than they ever knew about each other and animals too."
152;The Killing;8.2;2011;2014;45;A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car.
153;Bates Motel;8.2;2013;2017;45;A contemporary prequel to Psycho, giving a portrayal of how Norman Bates' psyche unravels through his teenage years, and how deeply intricate his relationship with his mother, Norma, truly is.
154;Love, Death & Robots;8.5;2019;null;15;A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.
155;Star Trek: Discovery;7.2;2017;null;60;Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.
156;Married with Children;8;1987;1997;22;Al Bundy is a misanthropic women's shoe salesman with a miserable life. He hates his job, his wife is lazy, his son is dysfunctional (especially with women), and his daughter is dim-witted and promiscuous.
157;My Name Is Earl;7.7;2005;2009;22;A ne'er do well wins $100,000 in the lottery and decides to right all the wrongs from his past with his newfound realization.
158;Deadwood;8.6;2004;2006;55;A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota
159;Bodyguard;8.1;2018;null;60;A contemporary thriller featuring the Royalty and Specialist Protection Branch of London's Metropolitan Police Service.
160;Broadchurch;8.4;2013;2017;48;The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart.
161;Misfits;8.2;2009;2013;60;A group of young offenders doing community service get struck by lightning during a storm, and begin to develop superpowers.
162;Black Sails;8.2;2014;2017;56;"Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island."""
163;Legends of Tomorrow;6.8;2016;null;42;Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.
164;The OA;7.9;2016;2019;60;Having gone missing seven years ago, the previously blind Prairie returns home, now in her twenties with her sight restored. While many believe she is a miracle, others worry that she could be dangerous.
165;2 Broke Girls;6.7;2011;2017;22;Two young women waitressing at a greasy spoon diner strike up an unlikely friendship in the hopes of launching a successful business - if only they can raise the cash.
166;Jack Ryan;8.1;2018;null;60;An up-and-coming CIA analyst, Jack Ryan, is thrust into a dangerous field assignment as he uncovers a pattern in terrorist communication that launches him into the center of a dangerous gambit.
167;KaubÃ´i bibappu;8.9;1998;1999;24;The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.
168;Oz;8.7;1997;2003;55;A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.
169;Leyla ile Mecnun;9.1;2011;2014;80;Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.
170;The Sinner;7.9;2017;null;45;Anthology series that examines how and why ordinary people commit brutal crimes.
171;Batman: The Animated Series;9;1992;1995;23;The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
172;The Man in the High Castle;8;2015;2019;60;In a dystopian America dominated by Nazi Germany and Imperial Japan, a young woman discovers a mysterious film that may hold the key to toppling the totalitarian regimes.
173;Banshee;8.4;2013;2016;60;An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania, where he has some unfinished business
174;Justified;8.6;2010;2015;44;U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.
175;Making a Murderer;8.6;2015;2018;60;Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.
176;Scam 1992: The Harshad Mehta Story;9.4;2020;null;54;Set in 1980's and 90's Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.
177;Killing Eve;8.3;2018;null;42;After a series of events, the lives of a security operative and an assassin become inextricably linked.
178;The Last Kingdom;8.4;2015;null;60;As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.
179;Falling Skies;7.2;2011;2015;42;Survivors of an alien attack on earth gather together to fight for their lives and fight back.
180;Psych;8.3;2006;2014;44;A novice sleuth is hired by the Police after he cons them into thinking he has psychic powers which help solve crimes. With the assistance of his reluctant best friend, the duo take on a series of complicated cases.
181;After Life;8.4;2019;null;30;After Tony's wife dies unexpectedly, his nice-guy persona is altered into an impulsive, devil-may-care attitude
182;Fawlty Towers;8.7;1975;1979;30;Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.
183;The Americans;8.4;2013;2018;44;At the height of the Cold War two Russian agents pose as your average American couple, complete with family.
184;Naruto: ShippÃ»den;8.6;2007;2017;24;Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.
185;The Fall;8.2;2013;2016;60;A seemingly cold but very passionate policewoman goes head to head with a seemingly passionate father who is in fact a cold serial killer in this procedural out of Belfast. The only thing they share is their common complexity.
186;Stargate SG-1;8.4;1997;2007;44;A secret military team, SG-1, is formed to explore other planets through the recently discovered Stargates.
187;The Following;7.4;2013;2015;43;A brilliant and charismatic, yet psychotic serial killer communicates with other active serial killers and activates a cult of believers following his every command.
188;SpongeBob SquarePants;8.2;1999;null;23;The misadventures of a talking sea sponge who works at a fast food restaurant, attends a boating school, and lives in an underwater pineapple.
189;Legion;8.2;2017;2019;60;David Haller is a troubled young man diagnosed as schizophrenic, but after a strange encounter, he discovers special powers that will change his life forever.
190;Law & Order: Special Victims Unit;8;1999;null;60;This series follows the Special Victims Unit, a specially trained squad of detectives in the N.Y.P.D., who investigate sexually related crimes.
191;The O.C.;7.5;2003;2007;44;A troubled youth becomes embroiled in the lives of a close-knit group of people in the wealthy, upper-class neighborhood of Newport Beach, Orange County, California.
192;Revolution;6.7;2012;2014;43;Fifteen years after a permanent global blackout, a group of revolutionaries seeks to drive out an occupying force posing as the United States Government.
193;The Marvelous Mrs. Maisel;8.7;2017;null;57;A housewife in 1958 decides to become a stand-up comic.
194;The Inbetweeners;8.4;2008;2010;25;Follows four friends and their antics during their final years of school.
